(37.2346269, 127.2016757)
(35.1044, 35.1044)
(35.1971, 128.9904)
(36.32388888, 172.4208333)
(37.573, 126.9794)
(35.117379, 126.949172)
(36.3467, 127.4156)
(35.874008, 128.60054)
(35.611377, 129.387634)
(36.32388888, 172.4208333)
(37.557218, 126.635227)
(35.1044, 35.1044)
(37.5479, 127.06236)
(36.644984, 127.4523884)
(35.1357981, 128.7230668)
(35.83429, 127.146377)
(35.945379, 129.431044)
(36.8068933, 127.1506027)
(35.1971, 128.9904)
(36.32388888, 172.4208333)
(37.573, 126.9794)
(35.1044, 35.1044)
(37.557218, 126.635227)
(36.322735, 127.469253)
(36.32388888, 172.4208333)
(37.573, 126.9794)
(35.83429, 127.146377)
(35.1044, 35.1044)
(35.1308487, 128.5139656)
(34.9912162, 128.8505164)
(35.117379, 126.949172)
(35.1971, 128.9904)
(36.32388888, 172.4208333)
(35.874008, 128.60054)
(37.573, 126.9794)
(37.52361, 126.96928)
(37.573, 126.9794)
(37.480043, 126.475233)
(36.6220081, 127.5005974)
(37.557218, 126.635227)
(36.3467, 127.4156)
(35.1044, 35.1044)
(35.1357981, 128.7230668)
(37.573, 126.9794)
(36.32388888, 172.4208333)
(35.3054245, 128.6387065)
(36.0418, 129.3656)
(35.1971, 128.9904)
(35.3054245, 128.6387065)
(37.573, 126.9794)
(35.611377, 129.387634)
(35.1044, 35.1044)
(35.83429, 127.146377)
(36.32388888, 172.4208333)
(35.176158, 126.901286)
(35.176158, 126.901286)
(37.573, 126.9794)
(37.557218, 126.635227)
(37.485253, 126.632017)
(37.485253, 126.632017)
(37.485253, 126.632017)
(37.485253, 126.632017)
(36.6647914, 127.489736)
(36.3467, 127.4156)
(36.32388888, 172.4208333)
(35.1044, 35.1044)
(37.573, 126.9794)
(35.1971, 128.9904)
(35.1526, 128.9908)
(35.1526, 128.9908)
(35.163, 129.0532)
(35.163, 129.0532)
(35.163, 129.0532)
(35.874008, 128.60054)
(36.8783935, 127.1552727)
(35.1308487, 128.5139656)
(37.485253, 126.632017)
(35.163, 129.0532)
(37.480043, 126.475233)
(35.176158, 126.901286)
(36.8068933, 127.1506027)
(36.32388888, 172.4208333)
(37.573, 126.9794)
(35.1044, 35.1044)
(36.0418, 129.3656)
(35.163, 129.0532)
(37.485253, 126.632017)
(35.83429, 127.146377)
(35.1357981, 128.7230668)
(37.573, 126.9794)
(37.61868, 127.02925)
(37.5641, 126.9979)
(37.5641, 126.9979)
(37.6027, 126.9291)
(37.5641, 126.9979)
(37.5641, 126.9979)
(37.5641, 126.9979)
(37.5641, 126.9979)
(37.54663, 126.94077)
(37.5641, 126.9979)
(36.3467, 127.4156)
