Yeongdeungpo District,Seoul,403062,6336.443173,37.51431,126.90129
Yongsan District,Seoul,247206,4364.276681,37.52361,126.96928
Gwonseon-gu,Suwon,307410,2509.336487,37.2567361,126.9719715
Jangan-gu,Suwon,293485,3416.193713,37.3033907,127.0102346
Paldal-gu,Suwon,214653,6336.234909,37.2821877,127.0195459
Yeongtong-gu,Suwon,261008,3669.909352,37.2553324,127.0551606
Buk District,Ulsan,181611,445.6331129,35.611377,129.387634
Dong District,Ulsan,170639,1829.604531,35.515976,129.428882
Jung District,Ulsan,232421,2426.012786,35.569898,129.307395
Nam District,Ulsan,343487,1827.99473,35.524285,129.318223
Cheoin-gu,Yongin,209893,173.3218707,37.2346269,127.2016757
Giheung-gu,Yongin,365632,1728.345329,37.280586,127.1179528
Suji-gu,Yongin,314757,2886.658129,37.3222928,127.0972114
